Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,151.82952880859375,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,149.93898010253906,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,150.32655334472656,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,148.95591735839844,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,151.32858276367188,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,153.21908569335938,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,152.51014709472656,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,154.343994140625,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,153.2568817138672,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,154.24942016601562,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,157.07579040527344,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,157.9549102783203,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,157.38775634765625,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,156.63150024414062,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,157.5957489013672,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,156.0076446533203,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,153.39871215820312,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,156.4046630859375,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,158.84347534179688,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,163.32408142089844,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,160.91363525390625,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,164.83653259277344,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,170.26235961914062,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,170.05438232421875,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,173.5802459716797,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,173.8260498046875,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,178.37278747558594,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,174.34593200683594,53159900
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,174.6011199951172,47062900
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,173.65585327148438,35295800
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,175.20614624023438,23149500
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,176.98324584960938,27792200
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,177.51405334472656,29997500
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,174.8031768798828,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,169.27719116210938,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,161.9786834716797,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,159.30575561523438,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,161.29629516601562,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,149.9314727783203,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,153.561767578125,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,163.77963256835938,71030800
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,155.93141174316406,71677000
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,161.65647888183594,49814400
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,157.59959411621094,47817300
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,153.1447296142578,72821100
2020-03-09,151.0,157.75,150.0,150.6199951171875,142.7657012939453,70419300
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,152.5286102294922,65354400
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,145.61871337890625,56371600
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,131.80857849121094,93226400
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,150.547607421875,92727400
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,128.35841369628906,87905900
2020-03-17,140.0,147.5,135.0,146.57000732421875,138.9269256591797,81059800
2020-03-18,138.0,146.0,135.02000427246094,140.39999389648438,133.07864379882812,81593200
2020-03-19,142.77000427246094,150.14999389648438,139.0,142.7100067138672,135.26820373535156,85922700
2020-03-20,146.0,147.10000610351562,135.86000061035156,137.35000610351562,130.18772888183594,84866200
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,128.88916015625,78975200
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,140.6046142578125,82516700
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,139.2586669921875,75638200
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,147.96945190429688,64568100
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,141.89369201660156,57042300
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,151.87457275390625,63420300
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,149.48602294921875,77927200
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,144.1780242919922,57969900
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,147.1637420654297,49630700
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,145.80836486816406,41243300
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,156.65179443359375,67111700
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,154.96461486816406,62769000
2020-04-08,165.6699981689453,166.6699981689453,163.5,165.1300048828125,156.51907348632812,48318200
2020-04-09,166.36000061035156,167.3699951171875,163.3300018310547,165.13999938964844,156.5285186767578,51385100
2020-04-13,164.35000610351562,165.57000732421875,162.3000030517578,165.50999450683594,156.87928771972656,41905300
2020-04-14,169.0,173.75,168.0,173.6999969482422,164.64219665527344,52874300
2020-04-15,171.1999969482422,173.57000732421875,169.24000549316406,171.8800048828125,162.91709899902344,40940800
2020-04-16,174.3000030517578,177.27999877929688,172.89999389648438,177.0399932861328,167.80799865722656,50479600
2020-04-17,179.5,180.0,175.8699951171875,178.60000610351562,169.2866668701172,52765600
2020-04-20,176.6300048828125,178.75,174.99000549316406,175.05999755859375,165.9312286376953,36669600
2020-04-21,173.5,173.6699981689453,166.11000061035156,167.82000732421875,159.06881713867188,56203700
2020-04-22,171.38999938964844,174.0,170.82000732421875,173.52000427246094,164.47158813476562,34620200
2020-04-23,174.11000061035156,175.05999755859375,170.91000366210938,171.4199981689453,162.48104858398438,32790800
2020-04-24,172.05999755859375,174.55999755859375,170.7100067138672,174.5500030517578,165.4478302001953,34277600
2020-04-27,176.58999633789062,176.89999389648438,173.3000030517578,174.0500030517578,164.97396850585938,33194400
2020-04-28,175.58999633789062,175.6699981689453,169.38999938964844,169.80999755859375,160.95504760742188,34392700
2020-04-29,173.22000122070312,177.67999267578125,171.8800048828125,177.42999267578125,168.17764282226562,51286600
2020-04-30,180.0,180.39999389648438,176.22999572753906,179.2100067138672,169.86488342285156,53875900
2020-05-01,175.8000030517578,178.63999938964844,174.00999450683594,174.57000732421875,165.46682739257812,39370500
2020-05-04,174.49000549316406,179.0,173.8000030517578,178.83999633789062,169.51412963867188,30372900
2020-05-05,180.6199951171875,183.64999389648438,179.89999389648438,180.75999450683594,171.33401489257812,36839200
2020-05-06,182.0800018310547,184.1999969482422,181.6300048828125,182.5399932861328,173.02120971679688,32139300
2020-05-07,184.1699981689453,184.5500030517578,182.5800018310547,183.60000610351562,174.0259246826172,28316000
2020-05-08,184.97999572753906,185.0,183.36000061035156,184.67999267578125,175.0496063232422,30877800
2020-05-11,183.14999389648438,187.50999450683594,182.85000610351562,186.74000549316406,177.002197265625,30892700
2020-05-12,186.8000030517578,187.0399932861328,182.3000030517578,182.50999450683594,172.9927520751953,32038200
2020-05-13,182.5500030517578,184.0500030517578,176.5399932861328,179.75,170.37673950195312,44711500
2020-05-14,177.5399932861328,180.69000244140625,175.67999267578125,180.52999877929688,171.1160430908203,41873900
2020-05-15,179.05999755859375,187.05999755859375,177.0,183.16000366210938,173.60890197753906,46610400
2020-05-18,185.75,186.1999969482422,183.9600067138672,184.91000366210938,175.26760864257812,35264500
2020-05-19,185.02999877929688,186.60000610351562,183.49000549316406,183.6300048828125,174.05435180664062,26799100
2020-05-20,184.80999755859375,185.85000610351562,183.94000244140625,185.66000366210938,176.46861267089844,31261300
2020-05-21,185.39999389648438,186.6699981689453,183.2899932861328,183.42999267578125,174.34901428222656,29119500
2020-05-22,183.19000244140625,184.4600067138672,182.5399932861328,183.50999450683594,174.42503356933594,20826900
2020-05-26,186.33999633789062,186.5,181.10000610351562,181.57000732421875,172.58111572265625,36073600
2020-05-27,180.1999969482422,181.99000549316406,176.60000610351562,181.80999755859375,172.8092041015625,39517100
2020-05-28,180.74000549316406,184.14999389648438,180.3800048828125,181.39999389648438,172.4195098876953,33810200
2020-05-29,182.72999572753906,184.27000427246094,180.41000366210938,183.25,174.17791748046875,42130400
2020-06-01,182.5399932861328,183.0,181.4600067138672,182.8300018310547,173.77871704101562,22622400
2020-06-02,184.25,185.0,181.35000610351562,184.91000366210938,175.7557373046875,30794600
2020-06-03,184.82000732421875,185.94000244140625,183.5800018310547,185.36000061035156,176.18350219726562,27311000
2020-06-04,184.3000030517578,185.83999633789062,182.3000030517578,182.9199981689453,173.86427307128906,28761800
2020-06-05,182.6199951171875,187.72999572753906,182.00999450683594,187.1999969482422,177.93235778808594,39893600
2020-06-08,185.94000244140625,188.5500030517578,184.44000244140625,188.36000061035156,179.0349578857422,33211600
2020-06-09,188.0,190.6999969482422,187.25999450683594,189.8000030517578,180.40367126464844,29783900
2020-06-10,191.1300048828125,198.52000427246094,191.00999450683594,196.83999633789062,187.09512329101562,43872300
2020-06-11,193.1300048828125,195.75999450683594,186.07000732421875,186.27000427246094,177.04840087890625,52854700
2020-06-12,190.5399932861328,191.72000122070312,185.17999267578125,187.74000549316406,178.44564819335938,43373600
2020-06-15,184.5800018310547,190.82000732421875,184.00999450683594,188.94000244140625,179.58621215820312,32770200
2020-06-16,192.88999938964844,195.5800018310547,191.4600067138672,193.57000732421875,183.98704528808594,42556700
2020-06-17,195.02999877929688,196.32000732421875,193.69000244140625,194.24000549316406,184.6238555908203,25687800
2020-06-18,194.0,196.49000549316406,194.0,196.32000732421875,186.6009063720703,23061600
2020-06-19,198.58999633789062,199.2899932861328,194.3699951171875,195.14999389648438,185.4888153076172,44441100
2020-06-22,195.7899932861328,200.75999450683594,195.22999572753906,200.57000732421875,190.64051818847656,32818900
2020-06-23,202.08999633789062,203.9499969482422,201.42999267578125,201.91000366210938,191.91415405273438,30917400
2020-06-24,201.60000610351562,203.25,196.55999755859375,197.83999633789062,188.04563903808594,36740600
2020-06-25,197.8000030517578,200.61000061035156,195.47000122070312,200.33999633789062,190.42189025878906,27803900
2020-06-26,199.72999572753906,199.88999938964844,194.8800048828125,196.3300018310547,186.6103973388672,54675800
2020-06-29,195.77999877929688,198.52999877929688,193.5500030517578,198.44000244140625,188.615966796875,26701600
2020-06-30,197.8800048828125,204.39999389648438,197.74000549316406,203.50999450683594,193.43495178222656,34310300
